Heart disease_number,COPD_number,CKD_number,anycondition_number,60-69,High school diploma only 2014-18,Population Aged 60+,70-79,diabetes_number,Obesity_number,county_pop2018_18 and older,TOT_POP,POP_ESTIMATE_2018,50-59,Total Population,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,80+,40-49,White-alone pop,19-Oct,0-9,20-29,30-39,Unemployed_2018,Family Medicine/General Practice Primary Care (2019),POVALL_2018,Total nurse practitioners (2019),Total Specialist Physicians (2019),Bachelor's degree or higher 2014-18,Total physician assistants (2019),Internal Medicine Primary Care (2019),Less than a high school diploma 2014-18,Total Hospitals (2019),ICU Beds_x,GQ_ESTIMATES_2018,Two or more races pop,Black-alone pop,Asian-alone pop,Native American/American Indian-alone pop,N_POP_CHG_2018,Hawaiian/Pacific Islander-alone pop,% Asian-alone,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Upper 95% CI,Percent of adults with a high school diploma only 2014-18,Urban_rural_code
3345,3644,1326,20181,5826,12119,10523,4050,5462,15193,42438,55601,55601,7738,55036,10552,25957,25015,2014,7582,42660,7637,6787,6878,7089,942,21.24906079,7587,28.85913663,72.14215392,10291,6.085785611,25.99256097,4204,1.148905321,6,455,1016,10915,681,267,158,62,1.224798115,27.7,37.3,7.9,8.7,32.6,3
13414,14692,5479,68790,29932,40579,53519,20936,20520,50761,170912,218022,218022,29986,203360,46025,93849,90456,9368,27338,190301,26913,24757,23579,25213,3393,83.32157211,21069,113.1621137,282.882982,46075,23.86351236,101.9217303,14310,4.505074295,51,2190,3891,19492,2508,1684,5403,146,1.150342626,31.3,31.0,7.8,8.7,27.6,4
2159,2373,887,11325,3076,6486,6150,2244,3870,8013,19689,24881,24881,3278,26201,4566,8373,7940,1048,3074,12209,2960,2732,3268,3201,433,9.508783681,6788,12.91423137,32.28303325,2220,2.72334008,11.63146184,4901,0.514125884,5,2820,307,12042,113,164,-277,46,0.45416181,12.2,41.9,11.0,11.8,35.7,6
1533,1789,595,9190,2545,7471,4773,1723,2511,6894,17813,22400,22400,3115,22580,3846,8661,8317,785,3038,17211,2596,2456,3029,3113,344,8.560618723,4400,11.62649342,29.06394215,1813,2.4517832,10.47163479,2650,0.462860006,0,2151,242,4770,53,98,-155,26,0.236607143,11.5,40.2,8.6,9.3,47.3,2
4101,4661,1507,20584,6965,13489,13600,4931,6017,15112,44448,57840,57840,7844,57667,13267,25006,24128,2335,7474,55456,7570,7095,6742,6884,878,22.10474049,7527,30.02126693,75.04725063,5010,6.330854476,27.03925697,7861,1.195170658,6,489,801,950,185,378,13,70,0.319847856,12.6,35.5,9.2,10.1,34.0,2
804,873,360,4853,1219,2817,2371,703,1651,3664,8001,10138,10138,1356,10478,1582,4776,4552,417,1274,2661,1130,1198,1395,1446,224,3.874444313,3610,5.262026351,13.15402882,945,1.109650807,4.739349709,1760,0.209485479,0,1661,129,7168,19,85,-38,76,0.187413691,13.3,47.4,10.0,10.8,39.7,6
1588,1741,662,8891,2683,6091,5151,1660,2841,6304,15302,19680,19680,2491,20126,3421,8914,8487,1093,2318,10283,2461,2351,2286,2337,427,7.521115021,4731,10.21470493,25.53474918,2235,2.154066668,9.200079135,2141,0.406655577,7,333,215,8839,259,74,-218,10,1.316056911,16.1,42.5,10.4,11.2,43.9,6
8146,9158,3204,48041,14641,25653,27115,8979,13182,36639,89582,114277,114277,15325,115527,26643,45972,43833,4499,13727,86026,14637,13141,15463,13865,2139,43.6732958,21719,59.3143209,148.2741124,14219,12.50814414,53.42263431,12620,2.361350576,24,2739,2253,24153,1102,617,-387,126,0.96432353,18.0,42.3,9.1,9.9,32.4,4
2618,2870,1068,14836,4492,9060,8501,2972,4664,10410,26623,33615,33615,4761,33895,7003,15276,14679,1517,4078,19182,3812,3869,4380,3734,597,12.84666064,6181,17.44752572,43.61537569,3118,3.679316619,15.71446444,4383,0.69459996,0,458,423,13446,446,103,-143,15,1.326788636,13.2,40.4,9.8,10.6,38.4,5
2282,2540,814,11769,3946,7157,7513,2835,3353,8227,21042,26032,26032,3873,25855,5417,11622,11207,1283,3204,24217,2981,2554,2852,2504,415,9.948661902,4180,13.51164628,33.77645277,2407,2.849322333,12.16953557,3692,0.53790945,0,290,438,1109,88,172,217,8,0.338045483,12.9,41.0,10.8,12.0,38.3,6
3181,3672,1185,18925,5359,13125,9429,3334,5115,13599,33662,44153,44153,5932,43805,7147,19476,18773,1604,5655,38459,5818,5652,5566,5233,703,16.87397315,7542,22.91716803,57.28840348,4219,4.832749269,20.64080762,5302,0.912350796,6,393,573,4579,215,250,36,77,0.48694313,14.2,41.9,9.4,10.4,44.1,2
1135,1212,464,5876,1824,3606,3759,1371,1976,4408,10274,12841,12841,1947,13188,2851,4694,4434,717,1478,7343,1489,1324,1402,1289,260,4.907451117,2806,6.664991159,16.66116434,1225,1.40550661,6.002958139,1754,0.265338631,0,129,96,5355,23,24,-94,0,0.179113776,13.0,44.3,11.0,11.9,38.2,6
2003,2161,811,10741,2996,7372,6134,2220,3575,7584,18725,23920,23920,3419,24625,4205,7627,7057,1197,2871,12781,3045,2704,2911,2557,570,9.141517851,5381,12.41543404,31.03613823,2118,2.618154203,11.18221001,3175,0.494268363,0,280,230,10674,104,126,-177,5,0.434782609,12.6,41.7,10.7,11.5,43.7,6
1117,1287,418,5575,1799,3366,3480,1214,1732,3801,10587,13275,13275,1991,13407,2700,5963,5730,685,1604,11046,1564,1420,1543,1455,233,5.073313105,2285,6.890254469,17.22427822,944,1.45300991,6.205846063,2275,0.274306544,4,255,257,1868,32,72,-92,0,0.241054614,10.2,37.4,10.6,11.6,36.3,6
1146,1332,416,5959,1851,4135,3691,1358,1665,4294,11575,14987,14987,2113,14939,2518,5743,5499,649,1930,14234,1905,1829,1687,1665,244,5.727588965,2356,7.778850751,19.4455938,1428,1.640396197,7.00617815,2364,0.309682273,0,178,194,441,33,74,81,11,0.220190832,13.7,38.8,9.9,10.9,39.6,6
3258,3564,1302,20571,5958,9723,11027,3963,5596,14266,39629,51909,51909,6662,51073,12181,20817,19995,2099,6896,39368,6828,6605,6312,6586,822,19.83808738,7053,26.94284137,67.35179345,8175,5.681679201,24.26661117,4833,1.072616074,7,518,1562,9192,849,732,132,206,1.635554528,23.4,37.4,8.2,9.0,27.9,5
4065,4484,1542,23618,7290,13927,14062,4847,6429,16489,43392,54762,54762,7508,54435,11459,23258,22184,2650,6666,44138,6318,6248,6811,6424,1074,20.92841976,7459,28.42366216,71.05355358,7236,5.993953196,25.60034215,6016,1.131568734,22,474,1022,8875,323,363,253,41,0.589825061,18.7,39.6,9.4,10.3,36.0,4
1139,1239,464,5764,1726,4315,3542,1308,1994,4202,9727,12277,12277,1754,12649,1881,4494,4259,683,1335,6339,1434,1367,1410,1260,235,4.691906967,2979,6.372252664,15.9293758,949,1.343774212,5.739297334,1703,0.253684477,0,45,165,5680,26,63,-158,4,0.211778122,10.7,44.5,11.7,12.6,48.8,6
997,1075,385,5115,1746,3178,3145,1137,1662,3665,8938,10715,10715,1750,10955,2424,4376,4193,559,1379,7167,1023,928,1165,1028,183,4.09495668,1973,5.561512364,13.90268483,953,1.172806115,5.009087801,1675,0.221408257,0,248,142,3309,15,64,-42,18,0.139990667,11.6,42.6,11.2,12.1,38.6,5
2983,3202,1096,14939,5037,9368,10290,3508,4557,10865,28897,36986,36986,5141,37519,8588,15617,14902,2006,4178,31269,4397,4438,4187,4094,715,14.13495733,7239,19.19720917,47.98923949,3952,4.048288099,17.29035198,4530,0.764256258,13,575,621,4664,172,256,-92,4,0.465040826,14.9,39.3,10.3,11.3,35.4,6
1050,1184,411,5616,1828,3753,3371,1181,1745,3903,10664,13824,13824,1913,13866,2326,6298,6041,602,1648,10062,1764,1682,1649,1557,257,5.283124698,2661,7.175207365,17.9366043,1505,1.513100489,6.462494612,2091,0.285650747,0,132,270,3244,155,87,-37,6,1.121238426,15.6,38.1,9.8,10.7,38.8,6
5947,7008,2195,31416,10452,20382,19667,7221,8840,21605,64685,83442,83442,11234,81703,18559,37830,36589,3353,10335,79985,10256,10276,10389,9926,1241,31.88906909,11925,43.30972605,108.2657795,7866,9.133111328,39.00777455,10405,1.724194849,12,1049,1169,1116,561,539,606,72,0.67232329,13.7,35.0,9.2,10.1,35.6,5
3257,3609,1294,20251,5750,10924,10498,3752,5427,16366,37709,48956,48956,6222,49393,12036,20120,19274,1915,5688,36119,5918,6386,7013,6312,846,18.70953796,7743,25.41011659,63.52028358,5690,5.358459747,22.88613181,4732,1.011597074,6,922,1384,10262,695,392,-298,104,1.419642128,17.0,44.7,8.6,9.4,32.7,5
3103,3327,1392,17157,5112,9368,9436,3059,6160,12318,29189,38310,38310,5259,40755,8076,14860,13887,1563,4154,10630,5345,4767,4753,4298,973,14.64095104,11841,19.88441798,49.70712607,4021,4.193205999,17.90930039,5135,0.79161459,18,852,335,26994,223,111,-925,17,0.582093448,15.1,43.6,10.6,11.4,35.2,5
5694,6766,2082,28324,8595,15956,15782,5624,8479,19186,54197,71385,71385,9397,71194,13441,30129,28979,2668,9344,66184,10009,8929,8600,8219,1150,27.28123962,14975,37.05166217,92.62185315,6085,7.81341713,33.37132363,12394,1.475056318,12,782,1602,1325,368,1449,-19,457,0.515514464,12.7,36.8,10.5,11.5,33.3,6
4793,5393,1892,33116,9251,18304,15929,5758,8072,22541,63676,81887,81887,11202,80989,16197,37215,35932,2529,11003,61800,10359,9635,11143,11007,1283,31.29479399,8559,42.50261903,106.248171,13664,8.962909414,38.2808374,7594,1.692063273,5,5021,1416,17570,581,425,471,95,0.709514331,24.5,36.8,7.5,8.2,32.8,3
2914,3270,1148,15357,4319,11546,8677,3054,4944,10755,28529,36748,36748,4863,37621,6340,14352,13696,1501,4695,22792,4427,4526,4757,4606,656,14.04400075,8022,19.07367768,47.6804351,3287,4.022237903,17.17909086,4792,0.75933837,14,2685,759,11639,112,1423,-251,23,0.304778491,12.7,38.9,10.2,11.0,44.5,6
7643,8502,2878,43607,13446,23665,25122,8812,12221,29786,80504,102501,102501,13726,103132,24416,43096,41328,4251,13307,82796,12443,11836,12828,11852,1768,39.17285624,17509,53.20210722,132.9947828,12767,11.21920669,47.91754631,11147,2.118018458,56,2086,1817,16094,852,624,-436,318,0.831211403,17.7,38.5,9.5,10.3,32.9,4
1356,1522,504,6463,2258,4868,4604,1595,2009,4510,12961,16433,16433,2235,16657,3273,6482,6215,787,1994,14076,1943,1878,1966,1777,267,6.280207477,3801,8.529382424,21.32177506,1516,1.798667559,7.682159574,2060,0.339561539,12,291,238,1970,72,77,-41,0,0.438142762,12.9,36.4,10.5,11.4,41.5,6
2285,2634,862,12243,3554,7666,7054,2389,3496,8520,23668,31363,31363,4041,31507,5632,14203,13673,1266,4141,28738,4215,4182,3921,3654,530,11.98601272,5939,16.2786479,40.69341151,2679,3.432824843,14.66169115,4835,0.648065998,7,272,528,1427,107,485,-227,78,0.341166343,12.9,37.6,9.7,10.6,36.8,6
2268,2553,829,11517,3643,6924,6716,2414,3429,8835,20546,26314,26314,3627,26572,5720,10851,10425,1252,3249,22951,3336,2981,2859,2953,426,10.05643398,5537,13.65801552,34.14234705,2063,2.880188532,12.30136597,3891,0.543736527,6,229,493,2491,90,270,-96,19,0.342023258,11.1,44.7,11.0,12.0,37.2,4
802,859,369,3996,1287,2149,2352,750,1641,2922,6408,8233,8233,1098,8533,1689,2838,2647,447,798,1519,998,993,996,866,191,3.146409551,2459,4.27325537,10.68229624,589,0.90113978,3.848793268,1406,0.170121716,0,45,68,6597,22,27,-85,0,0.267217296,10.1,47.3,12.5,13.5,36.8,6
1187,1292,516,6560,1936,4292,3945,1201,2265,5167,11332,14726,14726,2022,14995,2711,5991,5686,705,1601,5988,1866,1888,1884,1623,305,5.62784247,3705,7.643381341,19.10694697,1421,1.611828545,6.884164905,1647,0.304289127,0,221,96,8561,42,37,-83,2,0.285209833,14.1,47.1,10.5,11.3,42.6,4
1380,1501,547,7147,2568,4081,4834,1734,2272,4918,13662,17209,17209,2247,17110,3487,6766,6466,886,2157,12280,2050,1841,1812,1914,300,6.576771768,3037,8.932157375,22.32863306,2187,1.883604334,8.044926922,2412,0.355596332,0,199,253,4523,64,85,69,4,0.371898425,18.0,37.5,10.1,11.1,33.5,4
7367,8006,2878,41884,12637,22680,23474,8358,12957,28130,80602,104722,104722,13919,104108,23681,45150,43325,4345,12976,72324,13493,12878,12814,13302,1825,40.02165687,17032,54.3548948,135.8765246,15076,11.46230537,48.9558276,10261,2.163911854,66,1416,2132,28491,1110,566,349,99,1.059949199,21.0,36.1,9.1,9.9,31.6,4
4415,4978,1582,21354,7208,15181,13441,4858,6307,15103,40930,51736,51736,7205,52326,10238,23241,22286,2249,6726,47215,6258,5632,5964,5636,955,19.77197189,10046,26.85304747,67.1273264,5280,5.662743554,24.18573649,6526,1.069041307,10,597,1436,1855,303,870,-171,57,0.585665687,14.2,38.5,10.8,11.8,40.8,5
38899,41253,17072,233701,78622,120037,138161,43004,68819,175684,509229,659300,659300,83769,659460,137208,314014,302359,25550,80221,350457,82823,83866,91855,89590,11655,251.9649966,103604,342.2029959,855.4400474,145462,72.16342248,308.2120007,46025,13.62337508,471,16694,8398,286501,11676,1892,-246,376,1.77096921,32.4,35.6,7.6,8.3,26.8,1
1213,1345,442,5923,1851,3950,3811,1398,1823,3951,10883,13844,13844,1903,14021,2967,5721,5503,752,1763,12084,1745,1498,1463,1471,218,5.290768107,2374,7.185588163,17.96255425,1235,1.515289581,6.471844286,1741,0.286064014,0,217,238,1466,14,40,-58,2,0.101126842,12.5,38.0,11.1,12.3,39.9,6
6397,6987,2469,34665,12140,22812,23452,8410,9794,25531,74219,92387,92387,12179,92590,17453,42141,40375,4407,10553,80358,11341,9570,13573,10214,1766,35.30758402,12645,47.95253782,119.8718939,15185,10.11218279,43.18941621,7979,1.9090289,48,2086,1554,9298,708,417,-204,52,0.766341585,23.9,35.9,8.6,9.5,36.0,4
2523,2956,958,11977,4261,9710,7710,2930,3964,9303,25842,32957,32957,5014,33288,6028,13919,13336,1260,4145,25772,4018,3767,3916,3646,583,12.59519247,6297,17.10599748,42.76162239,2738,3.607295487,15.40686016,4919,0.681003447,6,229,1582,3606,77,1913,-120,7,0.23363777,11.7,37.5,9.8,10.6,41.5,4
8188,9275,3551,55106,15105,22855,24513,8719,14475,41424,129048,163941,163941,18752,156597,30707,74654,71951,3912,19365,115690,23398,19180,34582,20928,2703,62.65341045,30075,85.09191773,212.7130241,32377,17.94409775,76.63974458,9049,3.387577332,28,4958,2764,37852,6876,611,2300,148,4.194191813,34.1,33.4,6.3,6.9,24.1,4
5840,6606,2298,36584,10741,19463,18399,6670,9737,24876,74478,96174,96174,14143,91695,18341,42393,40890,3093,13397,78056,12395,11361,11370,13004,1503,36.75486362,10633,49.91814187,124.7855166,16367,10.52668739,44.95977697,10123,1.98728117,10,2696,2283,13320,1535,795,2098,185,1.596065465,25.5,34.9,7.8,8.6,30.3,3
